PROV_TERR,SITE_NO,SITE_NAME_NOM,DATE,TEMPERATURE (WATER),PH,TURBIDITY
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-03-11,0.1,8.23,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-03-11,1.0,7.76,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-03-11,4.885352143248175,4.599999,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-03-13,4.885352143248175,7.25,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-03-13,0.1,8.06,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-03-14,4.885352143248175,7.2,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-03-17,4.885352143248175,4.599999,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-03-19,4.885352143248175,8.28,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-03-20,4.885352143248175,7.48,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-03-20,4.885352143248175,8.64,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-03-20,4.885352143248175,8.41,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-03-21,4.885352143248175,8.0,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-03-21,4.885352143248175,7.44,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-03-24,1.5,7.73,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-03-25,4.885352143248175,4.699999,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-03-25,0.1,8.22,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-03-27,0.1,8.02,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-03-30,4.885352143248175,4.599999,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-04-02,4.885352143248175,8.33,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-04-03,4.885352143248175,8.71,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-04-03,4.885352143248175,8.12,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-04-07,4.885352143248175,4.599999,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-04-08,0.1,8.22,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-04-10,1.0,7.8,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-04-14,4.885352143248175,4.699999,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-04-14,0.1,8.15,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-04-15,3.0,7.46,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-04-16,4.885352143248175,7.93,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-04-16,4.885352143248175,7.34,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-04-17,4.885352143248175,8.28,14.898467320261437
NT,NW10ED0001,LIARD RIVER AT FORT LIARD,2002-04-18,4.885352143248175,8.37,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-04-22,4.885352143248175,4.699999,14.898467320261437
NT,NW10LA0003,MACKENZIE RIVER ABOVE ARCTIC RED RIVER,2002-04-22,4.885352143248175,7.0,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-04-22,1.5,7.7,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-04-22,6.0,8.3,14.898467320261437
NT,NW07OB0002,HAY RIVER NEAR ALBERTA/NWT BORDER,2002-04-22,4.885352143248175,7.07,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-04-24,4.885352143248175,8.22,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-04-25,4.885352143248175,8.14,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-04-28,1.0,8.09,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-04-29,4.885352143248175,4.8,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-04-29,7.0,7.75,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-05-06,4.0,8.21,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-05-06,4.885352143248175,4.8,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-05-07,4.885352143248175,8.25,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-05-08,4.885352143248175,8.17,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-05-08,4.885352143248175,8.57,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-05-13,2.0,7.97,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-05-13,7.0,7.77,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-05-14,4.885352143248175,8.24,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-05-14,4.885352143248175,8.37,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-05-15,4.885352143248175,8.26,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-05-15,4.885352143248175,8.28,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-05-20,4.885352143248175,4.846666,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-05-21,4.885352143248175,7.86,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-05-21,3.5,7.6,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-05-21,4.0,8.13,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-05-22,4.885352143248175,7.54,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-05-27,7.0,7.06,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-05-27,4.885352143248175,4.88,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-05-29,7.0,7.88,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-06-02,4.0,7.8,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-06-03,4.885352143248175,4.82,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-06-03,5.0,8.17,14.898467320261437
NT,NW07OB0002,HAY RIVER NEAR ALBERTA/NWT BORDER,2002-06-04,4.885352143248175,7.51,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-06-04,4.885352143248175,8.21,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-06-04,4.885352143248175,7.95,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-06-05,4.885352143248175,8.0,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-06-05,4.885352143248175,8.05,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-06-05,4.885352143248175,8.28,14.898467320261437
NT,NW10LA0003,MACKENZIE RIVER ABOVE ARCTIC RED RIVER,2002-06-07,4.885352143248175,7.1,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-06-10,4.885352143248175,4.9,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-06-11,4.885352143248175,8.48,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-06-12,4.885352143248175,8.26,14.898467320261437
NT,NW10ED0002,LIARD RIVER NEAR THE MOUTH,2002-06-13,4.885352143248175,8.09,14.898467320261437
AB,AL06AD0001,"BEAVER RIVER AT BEAVER CROSSING,",2002-06-13,4.885352143248175,8.3,14.898467320261437
NT,NW10FB0006,MACKENZIE RIVER AT STRONG POINT,2002-06-13,4.885352143248175,8.04,14.898467320261437
NT,NW10ED0001,LIARD RIVER AT FORT LIARD,2002-06-14,4.885352143248175,8.26,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-06-16,3.5,7.7,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-06-17,4.885352143248175,4.969999,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-06-17,10.0,7.85,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-06-18,4.0,8.02,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-06-20,4.885352143248175,8.04,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-06-21,4.885352143248175,8.43,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-06-24,7.0,7.49,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-06-24,4.885352143248175,5.119999,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-07-01,4.885352143248175,5.099999,14.898467320261437
NT,NW07OB0002,HAY RIVER NEAR ALBERTA/NWT BORDER,2002-07-02,4.885352143248175,7.81,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-07-02,4.885352143248175,8.02,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-07-02,4.0,7.6,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-07-02,6.0,8.17,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-07-03,4.885352143248175,8.05,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-07-03,13.0,7.98,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-07-03,4.885352143248175,8.11,14.898467320261437
NT,NW10ED0001,LIARD RIVER AT FORT LIARD,2002-07-04,4.885352143248175,8.18,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-07-08,4.885352143248175,5.01,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-07-11,4.885352143248175,8.33,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-07-12,4.885352143248175,8.2,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-07-14,4.885352143248175,5.093333,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-07-15,10.0,6.48,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-07-16,4.885352143248175,7.76,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-07-16,4.0,7.7,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-07-16,4.885352143248175,8.27,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-07-17,9.6,8.03,14.898467320261437
NT,NW10JC0001,GREAT BEAR RIVER AT OUTLET OF GREAT BEAR LAKE,2002-07-17,4.885352143248175,7.9,14.898467320261437
NT,NW10KA0001,MACKENZIE RIVER AT NORMAN WELLS,2002-07-18,4.885352143248175,8.16,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-07-22,4.885352143248175,5.13,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-07-23,13.0,7.82,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-07-24,4.885352143248175,8.26,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-07-25,4.885352143248175,7.9,14.898467320261437
NT,NW10LA0003,MACKENZIE RIVER ABOVE ARCTIC RED RIVER,2002-07-29,4.885352143248175,6.9,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-07-29,10.5,7.0,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-07-29,4.885352143248175,5.219999,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-07-29,9.0,8.15,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-08-05,4.885352143248175,5.13,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-08-07,13.0,7.9,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-08-12,4.885352143248175,7.78,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-08-12,4.885352143248175,5.19,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-08-12,4.885352143248175,8.11,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-08-13,4.885352143248175,8.01,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-08-13,4.885352143248175,8.108039,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-08-14,4.885352143248175,7.71,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-08-18,4.885352143248175,5.21,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-08-22,4.885352143248175,9.22,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-08-23,4.885352143248175,8.25,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-08-25,4.885352143248175,5.26,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-08-26,11.0,7.26,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-08-26,9.1,7.79,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-08-27,4.885352143248175,8.22,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-08-28,4.885352143248175,8.01,14.898467320261437
NT,NW07OB0002,HAY RIVER NEAR ALBERTA/NWT BORDER,2002-09-02,4.885352143248175,8.07,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-09-02,3.0,7.7,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-09-02,4.885352143248175,5.289999,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-09-03,4.885352143248175,8.01,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-09-04,4.885352143248175,7.7,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-09-04,4.885352143248175,8.52,14.898467320261437
NT,NW10ED0001,LIARD RIVER AT FORT LIARD,2002-09-04,4.885352143248175,8.28,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-09-08,4.885352143248175,5.253333,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-09-09,6.9,7.67,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-09-10,4.885352143248175,8.35,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-09-11,4.885352143248175,9.14,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-09-11,9.0,7.35,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-09-15,4.885352143248175,5.3,14.898467320261437
BC,BC08ND0003,ILLECILLEWAET RIVER AT GLACIER NATIONAL PARK ENTRANCE,2002-09-16,8.5,6.7,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-09-17,4.885352143248175,8.33,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-09-18,4.885352143248175,8.16,14.898467320261437
AB,AL06AD0001,"BEAVER RIVER AT BEAVER CROSSING,",2002-09-18,4.885352143248175,8.34,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-09-18,4.885352143248175,7.81,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-09-19,4.885352143248175,7.89,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-09-23,4.885352143248175,5.159999,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-09-23,0.1,8.22,14.898467320261437
NT,NW10FB0006,MACKENZIE RIVER AT STRONG POINT,2002-09-24,4.885352143248175,8.4,14.898467320261437
NT,NW10ED0002,LIARD RIVER NEAR THE MOUTH,2002-09-24,4.885352143248175,8.55,14.898467320261437
NT,NW10KA0001,MACKENZIE RIVER AT NORMAN WELLS,2002-09-26,4.885352143248175,7.0,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-09-30,5.0,7.43,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-09-30,4.885352143248175,5.059999,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-10-01,3.0,7.1,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-10-07,6.1,7.78,14.898467320261437
NT,NW10ED0002,LIARD RIVER NEAR THE MOUTH,2002-10-07,4.885352143248175,8.38,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-10-07,4.885352143248175,5.119999,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-10-08,4.885352143248175,8.34,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-10-08,4.885352143248175,8.21,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-10-08,3.0,7.6,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-10-09,4.885352143248175,8.25,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-10-09,4.885352143248175,9.22,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-10-09,4.885352143248175,8.36,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-10-09,4.885352143248175,8.65,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-10-10,4.885352143248175,7.77,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-10-15,4.885352143248175,8.12,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-10-15,4.885352143248175,5.05,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-10-16,4.885352143248175,7.85,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-10-16,4.0,7.55,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-10-21,2.5,7.0,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-10-21,4.885352143248175,4.98,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-10-28,4.885352143248175,4.9,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-10-30,1.0,7.6,14.898467320261437
